Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Full Force Festival,2014-07-04,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony,"Flugplatz Roitzschjora Löbnitz, DE 04509",28000,89.95,2518600.0
Rockharz Festival,2014-07-10,3,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",12000,85.85,1030199.9999999999
Wacken Open Air,2014-07-31,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,170.0,12750000.0
Metal Frenzy Festival,2014-08-14,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1100,59.9,65890.0
Highfield Festival,2014-08-14,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",25000,89.0,2225000.0
Elbriot Festival,2014-08-16,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",10500,58.0,609000.0
X Rockfest,2014-08-17,1,outdoor,Metal,"Hardcore(Metal)
Metal",Northrhine-Westphalia,"Parkplatz X Herford Diskothek Bünder Str.82 Herford, DE 32051",7000,38.0,266000.0
Brann Open Air,2015-06-12,2,outdoor,Metal,"Folk
Metal
Rock",Saxony,"Am Flughafen Leipzig/ Halle Leipzig, DE 04435",,49.0,
Metal Frenzy Festival,2015-06-19,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",950,59.9,56905.0
Full Force Festival,2015-07-03,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony,"Flugplatz Roitzschjora Löbnitz, DE 04509",25000,91.95,2298750.0
Rockharz Festival,2015-07-09,3,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",13500,91.35,1233225.0
Wacken Open Air,2015-07-30,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,170.0,12750000.0
Reload Festival,2015-08-07,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Punk
Rock",LowerSaxony,"Sulingen, DE 27232",6500,91.0,591500.0
X Rockfest,2015-08-08,1,outdoor,Metal,"Hardcore(Metal)
Metal",Northrhine-Westphalia,"Rathausplatz Herford Herford, DE 32052",,,
Highfield Festival,2015-08-14,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",25000,119.0,2975000.0
Elbriot Festival,2015-08-15,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",10500,,
Metal Frenzy Festival,2016-06-16,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1250,59.9,74875.0
Full Force Festival,2016-07-01,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony,"Flugplatz Roitzschjora Löbnitz, DE 04509",25000,111.95,2798750.0
Rockharz Festival,2016-07-07,3,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",13500,91.9,1240650.0
Wacken Open Air,2016-08-04,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,190.0,14250000.0
Highfield Festival,2016-08-19,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",35000,139.0,4865000.0
Elbriot Festival,2016-08-19,2,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",15000,69.9,1048500.0000000001
Reload Festival,2016-08-26,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Punk
Rock",LowerSaxony,"Sulingen, DE 27232",10000,79.0,790000.0
Wacken Winter Nights,2017-02-10,3,unknown,Metal,"Folk
Gothic
Metal
Rock",Schleswig-Holstein,"Wacken, DE 25596",,,
Lokifest,2017-03-05,1,indoor,Metal,Metal,Thuringia,"Club From Hell Erfurt Erfurt, DE 99092",200,7.0,1400.0
Rockund Metal Day'z,2017-06-02,3,outdoor,Metal,"Metal
Rock",Saxony-Anhalt,"Motorsportarena Oschersleben Motopark- Allee20 Oschersleben( Bode), DE 39387",300,,
Matapaloz Festival,2017-06-16,2,outdoor,Rock,"Hardcore(Metal)
Metal
Rock",Baden-Württemberg,"Hockenheimring Am Motodrom Hockenheim, DE 68766",100000,127.9,12790000.0
Full Force Festival,2017-06-22,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony-Anhalt,"Ferropolis Ferropolisstraße1 Gräfenhainichen, DE 06773",18000,111.95,2015100.0
Metal Frenzy Festival,2017-06-29,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1450,66.66,96657.0
Rockharz Festival,2017-07-05,4,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",15000,97.9,1468500.0
Deichbrand Festival,2017-07-20,4,outdoor,Mixed,"Germanrock
Electro
Hip-Hop
Metal
Pop
Rock",LowerSaxony,"Seeflughafen Cuxhaven Walter- Carstens- Straße1 Wurster Nordseeküste, DE 27639",55000,129.0,7095000.0
Wacken Open Air,2017-08-03,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,220.0,16500000.0
Highfield Festival,2017-08-18,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",35000,159.0,5565000.0
Elbriot Festival,2017-08-19,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",10000,49.9,499000.0
Reload Festival,2017-08-25,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Punk
Rock",LowerSaxony,"Sulingen, DE 27232",12000,79.0,948000.0
Wacken Winter Nights,2018-02-23,3,unknown,Metal,"Folk
Gothic
Metal
Rock",Schleswig-Holstein,"Wacken, DE 25596",,,
Lokifest,2018-03-10,1,indoor,Metal,Metal,Thuringia,"Club From Hell Erfurt Erfurt, DE 99092",200,12.0,2400.0
Die Elbebrennt,2018-05-12,1,indoor,Rock,Germanrock,Brandenburg,"AlteÖlmühle Bad Wilsnacker Str.52 Wittenberge, DE 19322",2500,29.0,72500.0
Spectaculum Magdeburgense,2018-05-17,5,outdoor,Medieval,"Folk
Gothic
Art&culture
Medieval",Saxony-Anhalt,"Glacis- Park& Festungsanlage Ravelin2 Maybachstraße1 Magdeburg, DE 39104",16000,19.0,304000.0
Rockund Metal Day'z,2018-05-18,3,outdoor,Metal,"Metal
Rock",Saxony-Anhalt,"Motorsportarena Oschersleben Motopark- Allee20 Oschersleben( Bode), DE 39387",500,,
Full Force Festival,2018-06-14,3,outdoor,Metal,"Crossover
Germanrock
Hardcore(Metal)
Metal
Punk
Rock",Saxony-Anhalt,"Ferropolis Ferropolisstraße1 Gräfenhainichen, DE 06773",,119.95,
Matapaloz Festival,2018-06-22,2,outdoor,Rock,"Metal
Rock",Saxony,"Leipziger Messe Messe- Allee1 Leipzig, DE 04356",40000,129.0,5160000.0
Metal Frenzy Festival,2018-06-28,3,outdoor,Metal,"Germanrock
Gothic
Hardcore(Metal)
Metal
Rock",Saxony-Anhalt,"Erlebnisbad Gardelegen Magdeburger Landstraße20 Gardelegen, DE 39638",1800,66.66,119988.0
Rockharz Festival,2018-07-04,4,outdoor,Metal,"Germanrock
Gothic
Metal
Punk
Rock",Saxony-Anhalt,"Flugplatz Ballenstedt Ballenstedt, DE 06493",17000,102.8,1747600.0
Wacken Open Air,2018-08-02,3,outdoor,Metal,"Comedy
Germanrock
Folk
Gothic
Hardcore(Metal)
Reading
Metal
Punk
Rock
Folkmusic",Schleswig-Holstein,"Wacken, DE 25596",75000,220.0,16500000.0
Elbenwald Festival,2018-08-09,3,outdoor,Conventions,"Folk
Gothic
Hardcore(Metal)
Classicalmusic
Metal",LowerSaxony,"Eventpark Luhmühlen Westergellerser Heide Westergellersen, DE 21394",15000,139.0,2085000.0
Highfield Festival,2018-08-17,3,outdoor,Mixed,"Crossover
Germanrock
Electro
Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Rock",Saxony,"Störmthaler See Großpösna, DE 04463",35000,119.0,4165000.0
Elbriot Festival,2018-08-19,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Hamburg,"Hamburger Großmarkt Hamburg, DE 20097",13000,46.0,598000.0
Reload Festival,2018-08-24,2,outdoor,Metal,"Germanrock
Hardcore(Metal)
Metal
Punk
Rock",LowerSaxony,"Sulingen, DE 27232",12000,79.0,948000.0
Full Metal Holiday,2018-10-14,5,indoor,Metal,Metal,Spain,"Iberostar Club Cala Barca Sa Barca Trencada, S/ N Barca Trencada, ES 07691",1400,,
Toxicator Festival,2018-12-01,1,indoor,Electronicmusic,"Dance
Electro
House
Trance",Baden-Württemberg,"Maimarkthalle Mannheim Xaver- Fuhr- Straße101 Mannheim, DE 68163",11000,46.0,506000.0
Rockbar Festival,2019-01-11,2,indoor,Rock,"Germanrock
Metal
Pop
Rock",Northrhine-Westphalia,"Universum Bünde Bünde, DE 32257",500,7.0,3500.0
Bavarian Battle Winter,2019-01-12,1,indoor,Metal,Metal,Bavaria,"Lokschuppen Rosenheim Rosenheim, DE 83022",,13.0,
Winter World Festival,2019-01-19,1,indoor,Electronicmusic,"Dance
Electro
House
Trance",Baden-Württemberg,"Messe Karlsruhe Messeallee1 Rheinstetten, DE 76287",11000,46.0,506000.0
Nightrise Festival,2019-01-26,1,indoor,Metal,Metal,Bavaria,"Bornto Rock Landsbergerstr.185 München, DE 80687",,12.0,
70000 Tons Of Metal,2019-01-31,5,outdoor,Metal,"Folk
Hardcore(Metal)
Metal
Rock",UnitedStatesofAmerica,"Fort Lauderdale, US 33301",3000,590.0,1770000.0
Arkham Advertiser,2019-02-09,1,indoor,Metal,Metal,Bremen,"Kulturzentrum Schlachthof Bremen, DE 28215",,22.0,
E O N L Y Festival,2019-02-15,2,indoor,Electronicmusic,"Electro
Gothic",Saxony,"Stadtbad Eutritzscher Straße21 Leipzig, DE 04105",,62.0,
Nantes Death Fist,2019-02-15,2,indoor,Metal,Metal,France,"La Scène Michelet 1 Boulevard Henry Orrion Nantes, FR 44000",,28.0,
Frostfeuernächte,2019-02-15,2,indoor,Metal,"Folk
Metal
Rock",Brandenburg,"Ki EZ Hölzerner See Wegzum Hölzernen See1 Heidesee OT Gräbendorf, DE 15754",,35.0,
Metal Assault,2019-02-16,1,indoor,Metal,"Metal
Rock",Bavaria,"Posthalle Würzburg Bahnhofpl.2 Würzburg, DE 97070",,45.0,
H R H Hard Rock Hell Festival,2019-02-16,2,indoor,Metal,"Metal
Rock",UnitedKingdom,"O2 Academy Birmingham Birmingham, GB B11 DB",,58.0,
Complexity Fest,2019-02-16,1,indoor,Rock,"Metal
Pop
Rock",Netherlands,"Patronaat Haarlem Zijlsingel2 Haarlem, NL 2013 DN",,40.5,
Wacken Winter Nights,2019-02-22,3,outdoor,Metal,"Folk
Gothic
Metal
Rock",Schleswig-Holstein,"Wacken, DE 25596",,89.0,
Heathen Rock Festival,2019-02-23,1,indoor,Metal,"Metal
Rock",Hamburg,"Rieckhof Harburg Rieckhoffstraße12 Hamburg, DE 21073",,29.0,
Hell Over Hammaburg,2019-03-01,2,indoor,Metal,"Metal
Rock",Hamburg,"Markthalle Hamburg Klosterwall11 Hamburg, DE 20095",,65.0,
Country To Country Festival Deutschland,2019-03-02,2,indoor,Country,Country,Berlin,"Verti Music Hall Mercedes Platz Berlin, DE 10243",7000,199.0,1393000.0
Musink Festival,2019-03-08,3,indoor,Mixed,"Metal
Punk
Rock",UnitedStatesofAmerica,"OC Fair& Event Center 88 Fair Dr Costa Mesa, USC A92626",,71.0,
Lokifest,2019-03-09,1,indoor,Metal,Metal,Thuringia,"Club From Hell Erfurt Erfurt, DE 99092",200,15.0,3000.0
Download Festival( A U)- Sydney,2019-03-09,1,outdoor,Metal,"Metal
Rock",Australia,"Parramatta Park Pitt St&, Macquarie St Sydney, AUNS W2150",,,
Download Festival( A U)- Melbourne,2019-03-11,1,outdoor,Metal,"Metal
Rock",Australia,"Flemington Racecourse 448 Epsom Road Melbourne, AU 3031",,,
Upthe Hammers Festival,2019-03-15,2,indoor,Metal,Metal,Greece,"Gagarin Club Liosion205 Athen, GR 10445",,,
Full Metal Osthessen,2019-03-15,3,indoor,Metal,Metal,Hesse,"Dorfgemeinschaftshaus Niederjossa Alsfelder Str.1 Niederjossa, DE 36272",,30.0,
Hammerfest( G B),2019-03-21,4,indoor,Metal,"Metal
Rock",UnitedKingdom,"Presthaven Beach Resort Prestatyn, GBL L199 ST",,140.0,
Coachella Valley Musicand Arts Festival,2019-04-12,10,outdoor,Mixed,"Electro
Hip-Hop
Pop
Rock",UnitedStatesofAmerica,"Empire Polo Club 81800 Avenue51 Indio, USC A-92201",100000,375.0,37500000.0
Taunus Metal Festival,2019-04-12,2,outdoor,Metal,"Metal
Rock",Hesse,"Burgwiesenhalle Oberursel Im Himmrich9 Oberursel, DE 61440",,30.0,
Metal Franconia Festival,2019-04-12,2,indoor,Metal,"Metal
Rock",Bavaria,"Frankenhalle Dettelbach Adolf- Oesterheld- Straße17 Dettelbach, DE 97337",1000,45.5,45500.0
Elfia Haarzuilens,2019-04-13,2,outdoor,Conventions,"Folk
Gothic
Irish
Medieval
Pirate",Netherlands,"Kasteelde Haar Kasteellaan1 Haarzuilens, NL 3455 RR",23500,42.5,998750.0
Weekendof Hell,2019-04-13,2,indoor,Conventions,Movie,Northrhine-Westphalia,"Westfalenhalle Dortmund Rheinlanddamm200 Dortmund, DE 44139",,33.0,
Knight Fest,2019-04-13,1,indoor,Metal,"Metal
Rock",Hamburg,"Tipsy Apes( TA Me. V.) Am Radeland25a Hamburg, DE 21079",,12.0,
Inferno Festival,2019-04-18,4,indoor,Metal,"Hardcore(Metal)
Metal
Punk
Rock",Norway,"Rockefeller, John Dee, Kniven& Vaterland Oslo, NO 0010",1500,199.0,298500.0
Nothing But Metal Festival,2019-04-19,3,indoor,Metal,"Metal
Rock",Switzerland,"Sedel Sedelhof2 Ebikon, CH 6020",,53.0,
Paaspop Festival,2019-04-19,3,outdoor,Mixed,"Electro
Metal
Pop
Punk
Rock",Netherlands,"Manegede Molenheide De Heikampen5 Schijndel, NL 5482 ZR",81000,133.5,10813500.0
Easter Cross Festival,2019-04-20,2,indoor,Metal,"Hardcore(Metal)
Metal
Punk
Rock",Baden-Württemberg,"Neckarhalle Austraße12 Oberndorfam Neckar, DE 78727",2500,39.9,99750.0
Full Metal Cruise,2019-04-24,5,indoor,Metal,"Metal
Rock",Spain,"Mein Schiff6 Mallorca, ES 07001",2500,1199.0,2997500.0
Keep It True Festival,2019-04-26,2,indoor,Metal,"Metal
Rock",Baden-Württemberg,"Tauberfrankenhalle Hauptstrasse1 Lauda- Königshofen, DE 97922",2500,99.0,247500.0
Ragnarök Festival,2019-04-26,2,indoor,Metal,"Metal
Rock",Bavaria,"Stadthallein Lichtenfels Schützenplatz10 Lichtenfels, DE 96215",4000,69.0,276000.0
Hexentanz Walpurgisschlacht Festival,2019-04-26,3,outdoor,Medieval,"Folk
Gothic
Metal
Medieval
Rock",Saarland,"Eventgelände Losheim Zum Stausee201 Losheimam See, DE 66679",,66.9,
Groezrock Festival,2019-04-26,2,outdoor,Punk,"Hardcore(Metal)
Metal
Punk
Rock",Belgium,"Meerhout, BE 2450",30000,99.0,2970000.0
S W R Barroselas Metalfest,2019-04-26,3,indoor,Metal,"Metal
Rock",Portugal,"Avenida São Pauloda Cruz, Barroselas Vianado Castelo, PT 4905",,70.0,
Weser Metal Meeting,2019-04-27,1,indoor,Metal,"Metal
Rock",Hesse,"Weserhalle Reinhardshagen Alten Hagen1 Reinhardshagen, DE 34359",500,20.0,10000.0
Mayday,2019-04-30,1,indoor,Electronicmusic,"Dance
Electro
House
Trance",Northrhine-Westphalia,"Westfalenhalle Rheinlanddamm200 Dortmund, DE 44139",15000,61.0,915000.0
Rockam Kuhteich,2019-05-02,3,outdoor,Punk,"Punk
Rock",Saxony,"Kulturpark Deutzen Barbarastraße20 Neukieritzsch, DE 04574",750,0.0,0.0
Haiinden Mai Festival,2019-05-02,4,outdoor,Electronicmusic,"Electro
Goa
Trance",Northrhine-Westphalia,"Bergstrasse32 Stemwede/ Wehdem, DE 32351",5000,69.0,345000.0
A Chance For Metal Festival,2019-05-03,2,indoor,Metal,"Metal
Rock",Rhineland-Palatinate,"Jugendzentrum Andernach Stadionstr.88 Andernach, DE 56626",1500,25.0,37500.0
Netherlands Deathfest,2019-05-03,3,indoor,Metal,Metal,Netherlands,"Poppodium013 Veemarktstraat44 Tilburg, NL 5038 CV",,123.0,
Desertfest,2019-05-03,3,indoor,Metal,"Metal
Rock",Berlin,"Arena Berlin Eichenstraße4 Berlin, DE 12435",4000,109.0,436000.0
Open Hair Metal Festival,2019-05-03,2,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Liechtenstein,"Sportplatz Rheinau Balzers Rheinau1 Balzers, LI 9496",500,44.0,22000.0
Metal Bash Open Air,2019-05-04,1,outdoor,Metal,"Metal
Rock",LowerSaxony,"Schützenverein Neu Wulmstorf Wulmstorfer Str. Neu Wulmstorf, DE 21629",1000,28.0,28000.0
Dixiefest Markdorf,2019-05-05,1,outdoor,Jazz,"Country
Jazz",Baden-Württemberg,"Innenstadt Markdorf Markdorf, DE 88677",,0.0,
The Great Escape Festival,2019-05-09,3,outdoor,Mixed,"Electro
Pop",UnitedKingdom,"City Centre Brighton, GBB N1",,66.0,
Holsteiner Death Fest,2019-05-10,3,indoor,Metal,"Hardcore(Metal)
Metal",Schleswig-Holstein,"Ju K I42 Ander Reitbahn2 Ahrensburg, DE 22926",250,35.0,8750.0
Post Valley Festival,2019-05-10,2,indoor,Metal,"Metal
Rock",Hesse,"JOKUS Gießen Ostanlage25a Gießen, DE 35390",250,29.0,7250.0
Niemandsland Festival,2019-05-11,1,indoor,Hip-Hop,Hip-Hop,LowerSaxony,"Star Event Center Alter Flughafen11a Hannover, DE 30179",2500,15.0,37500.0
Moshinden Mai,2019-05-11,1,indoor,Metal,"Metal
Rock",LowerSaxony,"Schützenhaus Schützenplatz1 Knesebeck, DE 29379",,20.0,
Vienna Metal Meeting,2019-05-11,1,outdoor,Metal,Metal,Austria,"Arena Wien Baumgasse80 Wien, AT 1030",3500,60.0,210000.0
Rocking Rittergut,2019-05-11,1,indoor,Rock,"Pop
Rock",LowerSaxony,"Rittergut Veltheim Am Gute1 Veltheim( Ohe), DE 38173",800,13.0,10400.0
Metal4 Afrika Festival,2019-05-11,1,indoor,Metal,"Hardcore(Metal)
Metal
Rock",Baden-Württemberg,"Hexenhaus Ulm Mähringer Weg75 Ulm, DE 89075",,,
Grindthe Nazi Scum Festival,2019-05-16,3,indoor,Metal,"Metal
Rock",Saxony,"Brückenkopf Torgau Brückenkopf1 Torgau, DE 04860",200,30.0,6000.0
Nig Rock Festival,2019-05-17,2,outdoor,Rock,"Punk
Rock",LowerSaxony,"Rasengeländedes Niedersächsichen Internatsgymnasiums Seminarstr.8 Geestland- Bad Bederkesa, DE 27624",800,8.0,6400.0
Rockden Acker Open Air,2019-05-17,2,outdoor,Metal,"Metal
Rock",Hesse,"Bönstädter Straße Nidderau, DE 61130",750,19.0,14250.0
Traumsafari Festival,2019-05-18,1,outdoor,Electronicmusic,"Dance
Electro
House",Bavaria,"Eventzentrum Geiselwind Geiselwind, DE 96160",,30.0,
Metal Crash Festival,2019-05-18,1,indoor,Metal,"Metal
Rock",Hesse,"Messe Giessen/ Hessenhallen Ander Hessenhalle11 Gießen, DE 35398",,49.8,
Paluma Open Air Festival,2019-05-18,1,outdoor,Electronicmusic,"Dance
Electro
Trance",Northrhine-Westphalia,"Westpark Ander Jahrhunderthalle1 Bochum, DE 44793",5000,34.49,172450.0
Internationales Dixieland Festival,2019-05-19,8,indoor,Jazz,Jazz,Saxony,"Diverse Dresden, DE 01067",500000,260.0,130000000.0
Festivalohne Bands,2019-05-23,4,outdoor,Mixed,Other,Baden-Württemberg,"Betzenweiler Str.47 Hailtingen, DE 88525",8000,30.0,240000.0
Salt City Punk Festival,2019-05-23,3,outdoor,Punk,"Punk
Rock",Saxony-Anhalt,"Waldbühneam Peißnitzhaus Halle Saale, DE 06108",,36.2,
N D R2 Plaza Festival,2019-05-24,1,outdoor,Pop,"Pop
Rock",LowerSaxony,"Expo Plaza Hannover, DE 30539",25000,38.5,962500.0
Rockthe Hell,2019-05-24,2,indoor,Metal,Metal,Switzerland,"Werkhof Bischof Alt St. Johann, CH 9656",,52.0,
Besseralsnix Festival,2019-05-24,3,outdoor,Mixed,"Electro
Metal
Punk
Rock",Hesse,"Rheinwiesen Geisenheim, DE 65366",10000,0.0,0.0
Return To Strength Festival,2019-05-24,2,outdoor,Metal,Hardcore(Metal),Saxony-Anhalt,"Festplatz Querfurt Obhaeuser Weg10 Querfurt, DE 06268",,34.0,
Iron Fest Open Air,2019-05-24,3,outdoor,Metal,"Metal
Rock",Rhineland-Palatinate,"Sportplatz Kübelberg Ander Lach Schönenberg- Kübelberg, DE 66901",800,28.5,22800.0
London Calling Festival,2019-05-24,2,outdoor,Mixed,"Electro
Folk
Pop
Rock",Netherlands,"Paradiso Weteringschans6-8 Amsterdam, NL 1017 SG",3000,28.0,84000.0
Mosaique Festival,2019-05-24,2,outdoor,Mixed,"Comedy
Movie
Folk
Jazz
Classicalmusic
Art&culture
Reading
Pop
Sports",Saxony,"Kulturpark Deutzen Arno- Bahndorf- Straße12 Deutzen, DE 04574",1000,,
Revolt Festival,2019-05-25,1,outdoor,Electronicmusic,"Dance
Electro
House
Trance",Rhineland-Palatinate,"Flugplatz Pferdsfeld Bad Sobernheim, DE 55566",,45.0,
N- J O Y Starshow,2019-05-25,1,outdoor,Pop,"Hip-Hop
Pop
Reggae",LowerSaxony,"Expo Plaza Hannover, DE 30539",25000,36.5,912500.0
Heimat Festival,2019-05-25,1,outdoor,Pop,"Pop
Rock",LowerSaxony,"Fa. Behrens& Behrens Westerveseder Landstraße Scheeßel, DE 27383",1200,25.0,30000.0
Apen Air Festival,2019-05-25,1,outdoor,Punk,"Punk
Rock",LowerSaxony,"Zur Festung Apen, DE 26689",2500,30.0,75000.0
Ju Wi- Fest Münster,2019-05-25,1,outdoor,Mixed,"Electro
Pop
Rock",Northrhine-Westphalia,"Münster, DE 48143",,0.0,
Swinging Hannover,2019-05-29,2,outdoor,Jazz,Jazz,LowerSaxony,"Trammplatz(neues Rathaus) Trammplatz2 Hannover, DE 30159",40000,,
P U L S Open Air,2019-05-30,3,outdoor,Mixed,"Electro
Pop
Rock",Bavaria,"Schloss Kaltenberg Schloßstraße8 Geltendorf, DE 82269",9000,82.5,742500.0
Wonnemond Festival,2019-05-30,3,outdoor,Metal,"Metal
Rock",Saxony,"Tannertstraße52 Sebnitz, DE 01855",,45.0,
Immergut Festival,2019-05-30,3,outdoor,Mixed,"Electro
Pop
Rock",Mecklenburg-Western-Pomerania,"Mecklenburgischen Seenplatte Bürgerseeweg27 Neustrelitz, DE 17235",5000,73.0,365000.0
Dark Troll Festival,2019-05-30,3,outdoor,Metal,"Metal
Medieval
Rock",Saxony-Anhalt,"Schweinsburg Bornstedt Bornstedt, DE 06295",1000,58.0,58000.0
Schlossgrabenfest,2019-05-30,4,outdoor,Mixed,"Hip-Hop
Pop
Rock
Schlagermusic
Folkmusic",Hesse,"Innenstadtgelände Darmstadt, DE 64283",100000,0.0,0.0
Dauwpop Festival,2019-05-30,1,outdoor,Mixed,"Pop
Rock",Netherlands,"Luttenbergerweg31 Haarle, NL 7447 RZ",10000,58.88,588800.0
Tante Mia Tanzt Festival,2019-05-30,1,outdoor,Electronicmusic,"Dance
Electro
Hardcore(Electro)
Trance",LowerSaxony,"Stoppelmarkt Vechta, DE 49377",20000,39.9,798000.0
Vestrock Festival,2019-05-31,3,outdoor,Mixed,"Crossover
Hardcore(Metal)
Hip-Hop
Metal
Pop",Netherlands,"Hulst, NL 4561",25000,55.0,1375000.0
Elbjazz Festival,2019-05-31,2,outdoor,Jazz,Jazz,Hamburg,"Hamburger Hafen Hamburg, DE 20457",29000,99.0,2871000.0
Metalheadz Open Air,2019-05-31,2,outdoor,Metal,"Metal
Rock",Bavaria,"Oberndorf, DE 86698",667,55.0,36685.0
Spectaculum Nordgavia,2019-05-31,3,outdoor,Medieval,"Folk
Metal
Medieval
Pirate
Rock",Bavaria,"Burg Parsberg Burgstraße24 Parsberg, DE 92331",,50.0,
Metalfest Tschechien,2019-05-31,3,outdoor,Metal,"Folk
Hardcore(Metal)
Metal
Rock",CzechRepublic,"Lochotínskýamfiteátr Pod Vinicemi928/6 Pilsen, CZ 30100",,73.0,
Bavarian Battle Open Air,2019-05-31,2,outdoor,Metal,Metal,Bavaria,"Kirchdorfam Inn, DE 84375",,39.0,
Grabbenacht Festival,2019-05-31,2,indoor,Metal,Metal,Baden-Württemberg,"Geländedes Pushe. V Wiesenweg Schriesheim, DE 69198",500,28.0,14000.0
Krankenschwester Rock(t) Festival,2019-05-31,1,outdoor,Rock,"Pop
Punk
Rock",Brandenburg,"Haaren7 A Bad Wilsnack, DE 19336",500,8.0,4000.0
Best Kept Secret Festival,2019-05-31,3,outdoor,Mixed,"Electro
Hip-Hop
Pop
Punk
Rock",Netherlands,"Beekse Bergen Hilvarenbeek, NL 5081 NJ",25000,175.0,4375000.0
Steinbruch Metal Fest,2019-06-01,1,outdoor,Metal,"Metal
Punk
Rock",Hesse,"Freizeitanlage Steinbruch Espenau, DE 34314",,15.0,
Metalhornz Festival,2019-06-01,1,indoor,Metal,"Hardcore(Metal)
Metal
Punk",LowerSaxony,"um BA Ubar Stau25 Oldenburg, DE 26122",,7.0,
Forta Rock Festival,2019-06-01,2,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",Netherlands,"Goffertpark Muntweg Nijmegen, NL 6532",20000,80.0,1600000.0
Moshpit Festival,2019-06-01,1,indoor,Metal,"Hardcore(Metal)
Metal",Bremen,"Magazinkeller Bremen Findorffstraße51 Bremen, DE 28215",300,15.0,4500.0
